global_energy_metrics_global_derived_quantities_flops_per_joule,variables_quantisation_load_in_8bit,global_energy_metrics_local_process_results_total_energy_kwh_process_0,setup_gpu_model,global_energy_metrics_local_process_results_ram_energy_process_0,compute_metrics_compute_utilisation_gpu_utilization_percent_1,setup_python_version,variables_quantisation_cached_flops_for_quantised_models,global_energy_metrics_local_process_results_cpu_power_process_0,variables_sharding_config_sharding_strategy,variables_sharding_config_fsdp_config_cpu_offload,variables_batching_options_adaptive_batching,global_energy_metrics_local_process_results_ram_energy_process_3,global_energy_metrics_per-process_emissions_1,global_energy_metrics_local_process_results_total_energy_joules_process_0,global_energy_metrics_local_process_results_cpu_power_process_1,global_energy_metrics_global_experiment_results_cpu_power_avg,variables_decoder_config_decoding_mode,setup_region,compute_metrics_memory_gpu_max_memory_allocated_bytes,variables_decoder_config_decoder_temperature,global_energy_metrics_local_process_results_total_energy_joules_process_2,global_energy_metrics_experiment_id,variables_config_name,setup_available_cpu_count,setup_available_gpu_count,setup_cpu_model,compute_metrics_compute_utilisation_gpu_utilization_percent_3,compute_metrics_memory_gpu_current_memory_reserved_bytes,variables_sharding_config_fsdp_config_use_orig_params,global_energy_metrics_local_process_results_total_energy_joules_process_3,global_energy_metrics_local_process_results_gpu_power_process_1,global_energy_metrics_local_process_results_gpu_power_process_3,global_energy_metrics_global_experiment_results_total_energy_joules,variables_decode_token_to_text,variables_accelerate_config_distributed_type,global_energy_metrics_per-process_emissions_3,variables_latency_simulation_delay_max,global_energy_metrics_local_process_results_cpu_energy_process_1,model_architecture_architecture,inference_metrics_raw_inference_metrics_total_generated_tokens,global_energy_metrics_local_process_results_cpu_energy_process_0,inference_metrics_raw_inference_metrics_number_input_prompts,global_energy_metrics_local_process_results_total_energy_joules_process_1,compute_metrics_compute_utilisation_cpu_memory_usage_bytes,global_energy_metrics_local_process_results_ram_power_process_0,global_energy_metrics_global_experiment_results_ram_power_avg,compute_metrics_compute_utilisation_gpu_utilization_percent_2,global_energy_metrics_global_experiment_results_ram_energy_total,global_energy_metrics_global_experiment_results_total_energy_kwh,global_energy_metrics_local_process_results_gpu_power_process_0,variables_latency_simulation_burst_interval,global_energy_metrics_global_derived_quantities_tokens_per_joule,variables_accelerate_config_num_processes,global_energy_metrics_local_process_results_gpu_energy_process_0,global_energy_metrics_local_process_results_total_energy_kwh_process_2,global_energy_metrics_local_process_results_gpu_energy_process_2,global_energy_metrics_local_process_results_ram_power_process_1,setup_os,variables_inference_type,variables_quantisation_load_in_4bit,variables_latency_simulation_delay_min,global_energy_metrics_local_process_results_ram_power_process_2,setup_model,variables_backend,variables_batching_options_adaptive_max_tokens,setup_experiment_id,variables_max_output_tokens,variables_latency_simulation_simulate,global_energy_metrics_local_process_results_cpu_energy_process_3,variables_batching_options_max_batch_size___adaptive_batching,global_energy_metrics_local_process_results_cpu_energy_process_2,compute_metrics_memory_gpu_current_memory_allocated_bytes,compute_metrics_compute_utilisation_gpu_utilization_percent_0,global_energy_metrics_local_process_results_ram_power_process_3,global_energy_metrics_global_derived_quantities_joules_per_flop,global_energy_metrics_global_experiment_results_gpu_energy_total,inference_metrics_inference_performance_throughput_tokens_per_sec,inference_metrics_inference_performance_total_inference_time_sec,compute_metrics_memory_gpu_max_memory_reserved_bytes,global_energy_metrics_per-process_emissions_2,variables_decoder_config_decoder_top_k,global_energy_metrics_local_process_results_total_energy_kwh_process_3,global_energy_metrics_local_process_results_cpu_power_process_3,setup_date_time,inference_metrics_inference_performance_throughput_queries_per_sec,global_energy_metrics_per-process_emissions_0,compute_metrics_compute_utilisation_cpu_usage_percent,inference_metrics_inference_performance_average_latency_ms_per_batch,setup_country,global_energy_metrics_global_experiment_results_cpu_energy_total,global_energy_metrics_local_process_results_ram_energy_process_2,setup_cycle_id,setup_task_type,global_energy_metrics_global_derived_quantities_joules_per_token,global_energy_metrics_global_experiment_results_gpu_power_avg,global_energy_metrics_local_process_results_gpu_power_process_2,variables_latency_simulation_simulate_burst,global_energy_metrics_local_process_results_ram_energy_process_1,variables_fp_precision,variables_quantisation_quantization,global_energy_metrics_local_process_results_gpu_energy_process_1,inference_metrics_raw_inference_metrics_total_input_tokens,model_architecture_total_params,variables_query_rate,variables_max_input_tokens,global_energy_metrics_local_process_results_gpu_energy_process_3,global_energy_metrics_local_process_results_cpu_power_process_2,variables_latency_simulation_burst_size,compute_metrics_flops,global_energy_metrics_local_process_results_total_energy_kwh_process_1,variables_decoder_config_decoder_top_p,variables_batching_options_batch_size___fixed_batching,variables_number_input_prompts,setup_is_encoder_decoder
25116369992.252907,False,0.0005821632832944794,4 x NVIDIA A100-PCIE-40GB,1.0926550833992072e-06,0.0,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",52638582308864,112.5,NO_SHARD,False,False,NA,NA,2095.7878198601256,NA,112.5,top_k,saxony,1609970688,1.0,NA,3521,A3_Quantisation_Focus,128,1,AMD EPYC 7742 64-Core Processor,0.0,3588227072,False,NA,NA,NA,2095.7878198601256,True,DistributedType.MULTI_GPU,NA,0,NA,Unknown (no config attribute),16384,0.00023596451879711824,128,NA,1918267392,0.6696639060974121,0.6696639060974121,0.0,1.0926550833992072e-06,0.0005821632832944794,173.081409849995,0.0,7.817585274970002,1,0.0003451061094139618,NA,NA,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,pure_generative,True,0,NA,meta-llama/Llama-3.2-1B,pytorch,0,3521,128,False,NA,0,NA,1609970688,0.0,NA,3.981467068324157e-11,0.0003451061094139618,2166.9105927886458,7.560994927305728,3588227072,NA,50,NA,NA,"May 14, 2025 at 11:50:58 PM",16.928989006161295,0.00022177510277103193,0.9,3780.497463652864,Germany,0.00023596451879711824,NA,1,text_generation,0.12791673705200962,173.081409849995,NA,False,NA,torch.float16,True,NA,16384,749275136,1.0,128,NA,NA,0,52638582308864,NA,,64,128,False
10612237416.740206,False,0.0005300124155892721,4 x NVIDIA A100-PCIE-40GB,7.564884158914005e-07,0.0,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",52638582308864,112.5,NO_SHARD,False,False,NA,NA,1908.0446961213797,NA,112.5,greedy,saxony,4963390464,1.0,NA,3522,A1_Single_GPU,128,4,AMD EPYC 7742 64-Core Processor,0.0,8327790592,False,NA,NA,NA,1908.0446961213797,True,DistributedType.MULTI_GPU,NA,0,NA,Unknown (no config attribute),16384,0.00015385923796566202,128,NA,1858977792,0.6481404304504395,0.6481404304504395,0.0,7.564884158914005e-07,0.0005300124155892721,296.84184268531453,0.0,8.586800945127198,1,0.00037539668920771874,NA,NA,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,pure_generative,False,0,NA,meta-llama/Llama-3.2-1B,pytorch,0,3522,128,False,NA,0,NA,4963390464,0.0,NA,9.423083565983517e-11,0.00037539668920771874,3374.924098495169,4.854627695865929,8327790592,NA,,NA,NA,"May 14, 2025 at 11:51:28 PM",26.366594519493507,0.00020190822971873323,0.9,2427.3138479329646,Germany,0.00015385923796566202,NA,1,text_generation,0.11645780615975218,296.84184268531453,NA,False,NA,torch.float16,False,NA,16384,1235814400,1.0,128,NA,NA,0,20248623316992,NA,,64,128,False
1911927939.4371827,,0.0029418564748361076,4 x NVIDIA A100-PCIE-40GB,9.310707579324736e-06,0.0,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",52638582308864,112.5,NO_SHARD,False,False,NA,NA,10590.683309409987,NA,112.5,greedy,saxony,4963390464,0.0,NA,3523,R5_Tail_SingleGPU_Greedy,128,1,AMD EPYC 7742 64-Core Processor,0.0,7193231360,False,NA,NA,NA,10590.683309409987,True,DistributedType.MULTI_GPU,NA,0.8,NA,Unknown (no config attribute),16384,0.0017603576072870056,128,NA,1968091136,0.6865839958190918,0.6865839958190918,0.0,9.310707579324736e-06,0.0029418564748361076,99.14449360191982,4.0,1.5470201044952936,1,0.001172188159969778,NA,NA,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,pure_generative,False,0.3,NA,meta-llama/Llama-3.2-1B,pytorch,0,3523,128,True,NA,0,NA,4963390464,0.0,NA,5.230322646440177e-10,0.001172188159969778,284.8059846513815,57.526881045196205,7193231360,NA,,NA,NA,"May 14, 2025 at 11:52:52 PM",2.225046755088918,0.0011207002240888153,0.8,3595.430065324763,Germany,0.0017603576072870056,NA,1,text_generation,0.6464040105841057,99.14449360191982,NA,True,NA,torch.float16,False,NA,16384,1235814400,1.0,128,NA,NA,5,20248623316992,NA,,8,128,False
684406291.2032536,,0.004115067136724188,4 x NVIDIA A100-PCIE-40GB,9.202556839267744e-06,100.0,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",52638582308864,112.5,NO_SHARD,False,False,NA,0.0015631050545220745,14814.241692207079,112.5,112.5,top_p,saxony,4963390464,1.0,NA,3525,R6_Tail_DualGPU_TopP,128,2,AMD EPYC 7742 64-Core Processor,0.0,7193231360,False,NA,170.84530934769805,NA,29585.676778909976,True,DistributedType.MULTI_GPU,NA,0.8,0.0017326875781727721,Unknown (no config attribute),16384,0.0017632168724376247,128,14771.435086702895,1939849216,0.6765875816345215,0.6943817138671875,0.0,1.8695613953962373e-05,0.008218243549697215,0.0,4.0,0.5537814842782054,2,0.0023426477074472984,NA,NA,0.7121758460998535,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,pure_generative,False,0.3,NA,meta-llama/Llama-3.2-1B,pytorch,0,3525,128,True,NA,0,NA,4963390464,3.0,NA,1.4611204088172562e-09,0.004703643485132858,292.7902218501101,55.95815289346501,7193231360,NA,,NA,NA,"May 14, 2025 at 11:54:35 PM",2.287423608203985,0.0015676348257350795,1.7,3497.3845558415633,Germany,0.003495904450610397,NA,1,text_generation,1.8057664049627669,85.42265467384902,NA,True,9.493057114694629e-06,torch.float16,False,0.0023609957776855595,16384,1235814400,1.0,128,NA,NA,5,20248623316992,0.0041031764129730265,0.9,8,128,False
407696345.00715077,,0.013796095199123457,4 x NVIDIA A100-PCIE-40GB,4.3994840351764804e-05,0.0,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",52638582308864,112.5,NO_SHARD,False,False,NA,NA,49665.942716844445,NA,112.5,greedy,saxony,4963390464,0.0,NA,3526,R1_Ultralow_SingleGPU_Greedy,128,1,AMD EPYC 7742 64-Core Processor,0.0,7197425664,False,NA,NA,NA,49665.942716844445,True,DistributedType.MULTI_GPU,NA,0.1,NA,Unknown (no config attribute),16384,0.008581504833404321,128,NA,1968357376,0.6866312026977539,0.6866312026977539,0.0,4.3994840351764804e-05,0.013796095199123457,0.0,0.0,0.3298840030764842,1,0.005170595525367361,NA,NA,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,pure_generative,False,0.01,NA,meta-llama/Llama-3.2-1B,pytorch,0,3526,128,True,NA,0,NA,4963390464,4.0,NA,2.4528058989159214e-09,0.005170595525367361,58.301731925901464,281.0208111968823,7197425664,NA,,NA,NA,"May 14, 2025 at 11:59:42 PM",0.4554822806711052,0.005255622466106081,0.8,2195.475087475643,Germany,0.008581504833404321,NA,1,text_generation,3.0313685740261502,0.0,NA,False,NA,torch.float16,False,NA,16384,1235814400,1.0,128,NA,NA,0,20248623316992,NA,,1,128,False
150694324.50581285,,0.01867062444216703,4 x NVIDIA A100-PCIE-40GB,4.306032236111646e-05,100.0,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",52638582308864,112.5,NO_SHARD,False,False,NA,0.0071062628390412014,67214.2479918013,112.5,112.5,top_p,saxony,4963390464,1.0,NA,3528,R2_Ultralow_DualGPU_TopP,128,2,AMD EPYC 7742 64-Core Processor,0.0,7193231360,False,NA,135.73614251091107,NA,134368.85153701282,True,DistributedType.MULTI_GPU,NA,0.1,0.008566247938681043,Unknown (no config attribute),16384,0.00857161579727836,128,67154.60354521152,1937502208,0.6758966445922852,0.692746639251709,0.0,8.830283441440508e-05,0.037324680982503564,131.54809186248627,0.0,0.12193302102821736,2,0.010055948322527541,NA,NA,0.7095966339111328,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,pure_generative,False,0.01,NA,meta-llama/Llama-3.2-1B,pytorch,0,3528,128,True,NA,0,NA,4963390464,0.0,NA,6.635949982054076e-09,0.02009851441212973,58.560830961211906,279.77745074778795,7193231360,NA,,NA,NA,"May 15, 2025 at 12:05:08 AM",0.457506491884468,0.00711257438124353,1.6,2185.7613339670934,Germany,0.017137863735959404,NA,1,text_generation,8.20122384869463,133.64211718669867,NA,False,4.524251205328862e-05,torch.float16,False,0.01004256608960219,16384,1235814400,1.0,128,NA,NA,0,20248623316992,0.01865405654033653,0.9,1,128,False
1545388797.750368,False,0.0009125285396050343,4 x NVIDIA A100-PCIE-40GB,4.989991252271495e-07,100.0,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",52638582308864,112.5,NO_SHARD,False,False,5.27424939572925e-07,0.0003476277471625378,3285.1027425781235,112.5,112.5,greedy,saxony,4963390464,1.0,3273.7536511884873,3531,A4_Parallel_Exploit,128,4,AMD EPYC 7742 64-Core Processor,100.0,27703377920,False,3272.7563671051003,661.7380551590035,594.9674126631885,13102.607801006481,True,DistributedType.MULTI_GPU,0.00034642679261673727,0,0.00010190178611082956,Unknown (no config attribute),16384,0.0001022636148845777,128,3270.995040134771,1858969600,0.6480932235717773,0.67409348487854,100.0,2.0831560843981514e-06,0.003639613278057356,700.3056713180738,0.0,1.2504380997148872,4,0.0008097659255952294,0.0009093760142190242,0.0008053378664918398,0.6789708137512207,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,pure_generative,False,0,0.6874451637268068,meta-llama/Llama-3.2-1B,pytorch,0,3531,128,False,0.0001023839765257435,0,0.00010350177357031499,4963390464,2.0,0.6818647384643555,6.470863522860436e-10,0.003227478970881492,5139.730232523325,3.187715942040086,27703377920,0.0003461348779275947,,0.0009090989908625279,112.5,"May 15, 2025 at 12:15:15 AM",40.154142441588476,0.00034632126056908,3.2,3187.715942040086,Germany,0.00041005115109146576,5.363741568692975e-07,1,text_generation,0.7997197144168995,692.5160265520371,813.0529670678832,False,5.203578627287794e-07,torch.float16,False,0.0008061875893972115,16384,1235814400,1.0,128,0.0008061875893972115,112.5,0,20248623316992,0.0009086097333707697,,256,128,False
8050568942.529983,False,0.0009083302361979395,4 x NVIDIA A100-PCIE-40GB,1.045121997093318e-06,90.0,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",52638582308864,112.5,NO_SHARD,False,False,NA,0.00034602840347960505,3269.988850312582,112.5,112.5,greedy,saxony,1609970688,1.0,NA,3532,A2_2_GPU,128,2,AMD EPYC 7742 64-Core Processor,0.0,3527409664,False,NA,332.7384932048149,NA,6538.492209014203,True,DistributedType.MULTI_GPU,NA,0,0.00023254530213307593,Unknown (no config attribute),16384,0.00023300290810584557,128,3268.50335870162,1880850432,0.6566905975341797,0.6704757213592529,0.0,2.1352134083558985e-06,0.0018162478358372783,336.15124722176193,0.0,2.505776481221836,2,0.0006742822060950004,NA,NA,0.6842608451843262,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,pure_generative,True,0,NA,meta-llama/Llama-3.2-1B,pytorch,0,3532,128,False,NA,0,NA,1609970688,0.0,NA,1.242148234663448e-10,0.001348564412190001,2202.2761610026782,7.439575603697449,3527409664,NA,,NA,NA,"May 15, 2025 at 12:15:54 AM",17.205282507833424,0.00034587120958260613,1.7,3719.7878018487245,Germany,0.0004655482102389215,NA,1,text_generation,0.3990778936165895,334.4448702132884,NA,False,1.0900914112625802e-06,torch.float16,True,0.0006742822060950004,16384,749275136,1.0,128,NA,NA,0,52638582308864,0.0009079175996393389,,64,128,False
13572573593.513546,False,0.0010773069910718178,4 x NVIDIA A100-PCIE-40GB,1.931700982562677e-06,0.0,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",52638582308864,112.5,NO_SHARD,False,False,NA,NA,3878.3051678585443,NA,112.5,greedy,saxony,12870114304,1.0,NA,3534,A1_Single_GPU,128,4,AMD EPYC 7742 64-Core Processor,0.0,21145583616,False,NA,NA,NA,3878.3051678585443,True,DistributedType.MULTI_GPU,NA,0,NA,Unknown (no config attribute),16384,0.0002766004844015698,128,NA,2642239488,0.9204525947570801,0.9204525947570801,0.0,1.931700982562677e-06,0.0010773069910718178,328.21608655442964,0.0,4.224525737629521,1,0.0007987748056876853,NA,NA,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,pure_generative,False,0,NA,meta-llama/Llama-3.2-3B,pytorch,0,3534,128,False,NA,0,NA,12870114304,7.0,NA,7.367799431037227e-11,0.0007987748056876853,1839.9236388575584,8.904717377386987,21145583616,NA,,NA,NA,"May 15, 2025 at 12:17:49 AM",14.374403428574675,0.000410400098248809,0.8,4452.358688693494,Germany,0.0002766004844015698,NA,1,text_generation,0.23671296190542873,328.21608655442964,NA,False,NA,torch.float16,False,NA,16384,3212749824,1.0,128,NA,NA,0,52638582308864,NA,,64,128,False
186009814.18558633,,0.03910926498333795,4 x NVIDIA A100-PCIE-40GB,9.831660122958635e-05,100.0,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",52638582308864,112.5,NO_SHARD,False,False,NA,0.015046979504926904,140793.35394001662,112.5,112.5,top_p,saxony,12870114304,1.0,NA,3535,R2_Ultralow_DualGPU_TopP,128,2,AMD EPYC 7742 64-Core Processor,0.0,19199426560,False,NA,166.69630443994197,NA,282988.1989793574,True,DistributedType.MULTI_GPU,NA,0.1,0.014348638912575545,Unknown (no config attribute),16384,0.014165752672633976,128,142194.84503934073,2653573120,0.9254593849182129,0.9401593208312988,0.0,0.00020052488364279716,0.0786078330498215,227.88490800742954,0.0,0.05789640719680729,2,0.02484519570947441,NA,NA,0.9548592567443849,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,pure_generative,False,0.01,NA,meta-llama/Llama-3.2-3B,pytorch,0,3535,128,True,NA,0,NA,12870114304,7.0,NA,5.3760604212113055e-09,0.04989291658096917,35.34964868260099,463.48409703047946,19199426560,NA,,NA,NA,"May 15, 2025 at 12:26:17 AM",0.27616913033282026,0.014898674495402593,1.6,3620.969508050621,Germany,0.02851439158520952,NA,1,text_generation,17.272228941611168,197.29060622368576,NA,False,0.00010220828241321083,torch.float16,False,0.02504772087149476,16384,3212749824,1.0,128,NA,NA,0,52638582308864,0.03949856806648354,0.9,1,128,False
