global_energy_metrics_local_process_results_ram_energy_process_2,variables_batching_options_max_batch_size___adaptive_batching,global_energy_metrics_local_process_results_ram_energy_process_1,compute_metrics_compute_utilisation_gpu_utilization_percent_2,global_energy_metrics_global_experiment_results_cpu_energy_total,compute_metrics_compute_utilisation_cpu_usage_percent,compute_metrics_compute_utilisation_gpu_utilization_percent_0,variables_sharding_config_sharding_strategy,variables_latency_simulation_simulate_burst,setup_date_time,global_energy_metrics_global_experiment_results_ram_energy_total,global_energy_metrics_local_process_results_ram_power_process_1,global_energy_metrics_local_process_results_cpu_power_process_2,inference_metrics_inference_performance_throughput_queries_per_sec,global_energy_metrics_per-process_emissions_1,setup_cycle_id,compute_metrics_compute_utilisation_gpu_utilization_percent_3,global_energy_metrics_local_process_results_gpu_power_process_1,variables_query_rate,variables_latency_simulation_delay_max,variables_inference_type,compute_metrics_memory_gpu_current_memory_allocated_bytes,compute_metrics_compute_utilisation_gpu_utilization_percent_1,variables_sharding_config_fsdp_config_use_orig_params,global_energy_metrics_per-process_emissions_0,setup_model,global_energy_metrics_local_process_results_gpu_power_process_3,compute_metrics_memory_gpu_max_memory_allocated_bytes,global_energy_metrics_local_process_results_cpu_energy_process_3,inference_metrics_raw_inference_metrics_number_input_prompts,compute_metrics_flops,compute_metrics_compute_utilisation_cpu_memory_usage_bytes,setup_region,variables_decoder_config_decoding_mode,global_energy_metrics_local_process_results_cpu_power_process_3,global_energy_metrics_local_process_results_gpu_energy_process_0,global_energy_metrics_global_experiment_results_ram_power_avg,global_energy_metrics_local_process_results_gpu_power_process_0,global_energy_metrics_per-process_emissions_3,global_energy_metrics_experiment_id,variables_max_input_tokens,global_energy_metrics_local_process_results_total_energy_kwh_process_2,variables_latency_simulation_burst_interval,variables_backend,global_energy_metrics_local_process_results_cpu_power_process_1,global_energy_metrics_global_derived_quantities_joules_per_token,model_architecture_total_params,inference_metrics_inference_performance_average_latency_ms_per_batch,inference_metrics_inference_performance_total_inference_time_sec,global_energy_metrics_global_experiment_results_cpu_power_avg,setup_cpu_model,global_energy_metrics_local_process_results_total_energy_kwh_process_3,global_energy_metrics_local_process_results_total_energy_kwh_process_1,setup_python_version,global_energy_metrics_global_experiment_results_gpu_power_avg,inference_metrics_raw_inference_metrics_total_input_tokens,variables_max_output_tokens,global_energy_metrics_local_process_results_total_energy_joules_process_3,global_energy_metrics_local_process_results_ram_power_process_2,global_energy_metrics_local_process_results_cpu_energy_process_0,variables_config_name,variables_quantisation_load_in_8bit,global_energy_metrics_local_process_results_gpu_energy_process_2,global_energy_metrics_global_experiment_results_gpu_energy_total,variables_latency_simulation_simulate,variables_quantisation_cached_flops_for_quantised_models,variables_fp_precision,setup_experiment_id,variables_decoder_config_decoder_temperature,global_energy_metrics_global_experiment_results_total_energy_joules,setup_task_type,setup_is_encoder_decoder,global_energy_metrics_global_experiment_results_total_energy_kwh,global_energy_metrics_local_process_results_ram_power_process_3,variables_latency_simulation_delay_min,setup_available_gpu_count,variables_sharding_config_fsdp_config_cpu_offload,global_energy_metrics_local_process_results_total_energy_joules_process_2,variables_decode_token_to_text,global_energy_metrics_local_process_results_total_energy_joules_process_1,variables_decoder_config_decoder_top_p,global_energy_metrics_local_process_results_ram_energy_process_3,setup_available_cpu_count,variables_batching_options_batch_size___fixed_batching,global_energy_metrics_local_process_results_ram_energy_process_0,global_energy_metrics_per-process_emissions_2,inference_metrics_raw_inference_metrics_total_generated_tokens,global_energy_metrics_local_process_results_total_energy_joules_process_0,inference_metrics_inference_performance_throughput_tokens_per_sec,variables_quantisation_quantization,variables_decoder_config_decoder_top_k,global_energy_metrics_local_process_results_gpu_power_process_2,variables_accelerate_config_distributed_type,variables_latency_simulation_burst_size,setup_os,global_energy_metrics_global_derived_quantities_flops_per_joule,global_energy_metrics_local_process_results_cpu_power_process_0,variables_batching_options_adaptive_max_tokens,variables_accelerate_config_num_processes,variables_number_input_prompts,setup_gpu_model,global_energy_metrics_local_process_results_cpu_energy_process_2,compute_metrics_memory_gpu_current_memory_reserved_bytes,variables_quantisation_load_in_4bit,global_energy_metrics_local_process_results_cpu_energy_process_1,global_energy_metrics_local_process_results_ram_power_process_0,global_energy_metrics_global_derived_quantities_tokens_per_joule,global_energy_metrics_local_process_results_total_energy_kwh_process_0,global_energy_metrics_global_derived_quantities_joules_per_flop,variables_batching_options_adaptive_batching,global_energy_metrics_local_process_results_gpu_energy_process_3,model_architecture_architecture,compute_metrics_memory_gpu_max_memory_reserved_bytes,setup_country,global_energy_metrics_local_process_results_gpu_energy_process_1
NA,0,NA,0.0,0.027241527863177913,0.9,0.0,NO_SHARD,True,"April 29, 2025 at 01:38:02 PM",0.00013193000337076178,NA,NA,0.14322712381086838,NA,1,0.0,NA,1.0,0.6,pure_generative,2038932480,0.0,False,0.014036029586122569,meta-llama/Llama-3.2-1B,NA,2038932480,NA,128,52638582308864,1971220480,saxony,top_p,NA,0.009471350077072671,0.6884407997131348,43.31057685944064,NA,0001,128,NA,5.0,pytorch,NA,8.095782995424623,1235814400,6981.917763848287,893.6854737725807,112.5,AMD EPYC 7742 64-Core Processor,NA,NA,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",43.31057685944064,16384,128,NA,NA,0.027241527863177913,R5_Real_Time_Mobile_Inference,True,NA,0.009471350077072671,True,52638582308864,torch.float16,0001,1.0,132641.30859703702,text_generation,False,0.03684480794362139,NA,0.2,1,False,NA,True,NA,0.9,NA,128,1,0.00013193000337076178,NA,16384,132641.30859703702,18.333071847791153,True,,NA,DistributedType.MULTI_GPU,4,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,396849087.70599884,112.5,0,1,128,4 x NVIDIA A100-PCIE-40GB,NA,3057647616,False,NA,0.6884407997131348,0.12352109741147406,0.03684480794362139,2.5198495624131024e-09,False,NA,Unknown (no config attribute),3057647616,Germany,NA
NA,0,1.464217485267347e-06,0.0,0.0005731553321966204,1.6,0.0,NO_SHARD,False,"April 29, 2025 at 01:38:49 PM",2.8680388926713163e-06,0.6892189979553223,NA,13.783908494068,0.00041991404096855485,1,0.0,476.9714378803147,1.0,0.1,pure_generative,4963390464,100.0,False,0.0004275150417796866,meta-llama/Llama-3.2-1B,NA,4963390464,NA,128,20248623316992,1870229504,saxony,greedy,NA,0.0008312392761027354,0.6707117557525635,314.8874639155866,NA,0002,128,NA,0.0,pytorch,112.5,0.4887850881081484,1235814400,2321.5476229961496,9.286190491984598,112.5,AMD EPYC 7742 64-Core Processor,NA,0.001102281246800249,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",395.92945089795063,16384,128,NA,NA,0.00028959090112402923,R6_Medium_Scale_Language_Model_Serving,False,NA,0.001648491874345126,True,52638582308864,torch.float16,0002,1.0,8008.254883563904,text_generation,False,0.0022245152454344174,NA,0.01,4,False,NA,True,3968.2124884808964,,NA,128,32,1.4038214074039695e-06,NA,16384,4040.0423950830072,1764.340287240704,False,,NA,DistributedType.MULTI_GPU,0,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,2528468887.5912476,112.5,0,2,128,4 x NVIDIA A100-PCIE-40GB,NA,7549747200,False,0.0002835644310725912,0.6522045135498047,2.0458889281391914,0.0011222339986341687,3.9549626452103687e-10,False,NA,Unknown (no config attribute),7549747200,Germany,0.0008172525982423906
6.263148911963873e-05,0,6.187267250351023e-05,100.0,0.046272511291070254,3.3,9.0,NO_SHARD,True,"April 29, 2025 at 01:45:43 PM",0.00024485976616752623,0.6983542442321777,112.5,0.33851656783789275,0.01763984865431059,1,100.0,328.82588180301104,1.0,0.5,pure_generative,9907380736,100.0,False,0.01780917297511779,meta-llama/Llama-3.2-1B,284.4187151856897,9907380736,0.011517670012388409,128,20248623316992,1876504576,saxony,greedy,112.5,0.035036184140038173,0.6844199895858765,335.767391679724,0.01781175165343694,0003,128,0.04674937124325447,4.0,pytorch,112.5,40.86985714874889,1235814400,2954.065162562074,378.12034080794547,112.5,AMD EPYC 7742 64-Core Processor,0.04630489212314107,0.04619285729665046,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",311.1543774366047,16384,128,166697.61164330784,0.6980638504028321,0.01166066934586343,R7_anti_platonic_ideal,,0.03505727110135126,0.1394858899219571,True,52638582308864,torch.float32,0003,0.8,669611.7395251018,text_generation,False,0.18600326097919495,0.6866869926452637,0.4,4,False,168297.73647571608,True,166294.28626794164,,6.106877429705439e-05,128,1,5.928683024732292e-05,0.017597168987158993,16384,168322.1051381362,43.33012068325027,False,,295.60552107799424,DistributedType.MULTI_GPU,8,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,30239349.344969086,112.5,0,4,128,4 x NVIDIA A100-PCIE-40GB,0.011629468652783533,14369685504,,0.011464703280034875,0.6545748710632324,0.0244679103320676,0.04675614031614894,3.3069494604267e-08,False,0.03472615333645557,Unknown (no config attribute),14369685504,Germany,0.03466628134411209
NA,0,NA,0.0,0.001300136963345722,0.8,0.0,NO_SHARD,True,"April 29, 2025 at 01:46:59 PM",6.542911048340656e-06,NA,NA,3.0155943182303235,NA,1,0.0,NA,1.0,0.2,pure_generative,4963390464,0.0,False,0.0008680819127947117,meta-llama/Llama-3.2-1B,NA,4963390464,NA,128,20248623316992,1891110912,saxony,greedy,NA,0.0009720493887499515,0.6595373153686523,96.68204211893087,NA,0004,128,NA,2.0,pytorch,NA,0.5006973478587918,1235814400,2652.8767320050974,42.44602771208156,112.5,AMD EPYC 7742 64-Core Processor,NA,NA,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",96.68204211893087,16384,128,NA,NA,0.001300136963345722,R4_High_Load_Cloud_API_Deployment,False,NA,0.0009720493887499515,True,52638582308864,torch.float16,0004,1.0,8203.425347318445,text_generation,False,0.002278729263144013,NA,0.05,1,False,NA,True,NA,,NA,128,8,6.542911048340656e-06,NA,16384,8203.425347318445,385.9960727334814,False,,NA,DistributedType.MULTI_GPU,5,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,2468313230.1083126,112.5,0,1,128,4 x NVIDIA A100-PCIE-40GB,NA,7197425664,False,NA,0.6595373153686523,1.9972144934988212,0.002278729263144013,4.0513496739476565e-10,False,NA,Unknown (no config attribute),7197425664,Germany,NA
5.368306254264857e-07,0,5.328457576427981e-07,100.0,0.00041200755740646857,3.2,1.0,NO_SHARD,False,"April 29, 2025 at 01:47:35 PM",2.103585679161519e-06,0.6850204467773438,112.5,39.661017603528414,0.00034657527306265995,1,100.0,1044.0828938475354,1.0,0,pure_generative,4963390464,100.0,False,0.0003466932802218811,meta-llama/Llama-3.2-1B,939.2635401559277,4963390464,0.00010258380246523302,128,20248623316992,1858981888,saxony,greedy,112.5,0.0008098300923027324,0.6746385097503662,829.2767443151919,0.0003481286774414131,0005,128,0.0009138434898055206,0.0,pytorch,112.5,0.8014971574570438,1235814400,3227.350374101661,3.227350374101661,112.5,AMD EPYC 7742 64-Core Processor,0.0009100755485546163,0.0009097657778255937,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",917.953319369723,16384,128,3276.271974796619,0.6837401390075684,0.00010367990156373707,A4_Parallel_Exploit,False,0.0008098300923027324,0.0032335914757410933,False,52638582308864,torch.float16,0005,1.0,13131.729427776205,text_generation,False,0.0036477026188267234,0.6817502975463867,0,4,False,3289.8365632998743,True,3275.1568001721375,,5.261005215688805e-07,128,256,5.078087745233544e-07,0.00034819508191608626,16384,3290.4640895075745,5076.610253251637,False,,859.1900991602369,DistributedType.MULTI_GPU,0,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,1541961660.751413,112.5,0,4,128,4 x NVIDIA A100-PCIE-40GB,0.00010347656687736163,27703377920,False,0.00010226728650013684,0.648043155670166,1.2476650611871882,0.0009140178026409929,6.485245550869859e-10,False,0.0008069656455678142,Unknown (no config attribute),27703377920,Germany,0.0008069656455678142
NA,0,NA,0.0,0.000227013330662885,0.9,0.0,NO_SHARD,False,"April 29, 2025 at 01:48:09 PM",1.0676038992987803e-06,NA,NA,17.561771857294,NA,1,0.0,NA,1.0,0,pure_generative,1609970688,0.0,False,0.00021533498594566912,meta-llama/Llama-3.2-1B,NA,1609970688,NA,128,52638582308864,1929695232,saxony,top_k,NA,0.00033717693640689106,0.673560619354248,192.81270212719517,NA,0006,128,NA,0.0,pytorch,NA,0.12420216891410338,749275136,3644.279205997009,7.288558411994018,112.5,AMD EPYC 7742 64-Core Processor,NA,NA,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",192.81270212719517,16384,128,NA,NA,0.000227013330662885,A3_Quantisation_Focus,False,NA,0.00033717693640689106,False,52638582308864,torch.float16,0006,1.0,2034.92833548867,text_generation,False,0.000565257870969075,NA,0,1,False,NA,True,NA,,NA,128,64,1.0676038992987803e-06,NA,16384,2034.92833548867,2247.906797733632,True,50,NA,DistributedType.MULTI_GPU,0,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,25867536163.735867,112.5,0,1,128,4 x NVIDIA A100-PCIE-40GB,NA,3539992576,True,NA,0.673560619354248,8.051389188634758,0.000565257870969075,3.865849432548264e-11,False,NA,Unknown (no config attribute),3539992576,Germany,NA
NA,0,NA,0.0,0.00015124523630947805,0.9,0.0,NO_SHARD,False,"April 29, 2025 at 01:48:45 PM",7.563913310511915e-07,NA,NA,26.7177306673918,NA,1,0.0,NA,1.0,0,pure_generative,4963390464,0.0,False,0.00019665505750756033,meta-llama/Llama-3.2-1B,NA,4963390464,NA,128,20248623316992,1875902464,saxony,greedy,NA,0.0003642211247090188,0.6540169715881348,311.340618583162,NA,0007,128,NA,0.0,pytorch,NA,0.11342785085805498,1235814400,2395.4130235360935,4.790826047072187,112.5,AMD EPYC 7742 64-Core Processor,NA,NA,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",311.340618583162,16384,128,NA,NA,0.00015124523630947805,A1_Single_GPU,False,NA,0.0003642211247090188,False,52638582308864,torch.float16,0007,1.0,1858.4019084583729,text_generation,False,0.000516222752349548,NA,0,4,False,NA,True,NA,,NA,128,64,7.563913310511915e-07,NA,16384,1858.4019084583729,3419.86952542615,False,,NA,DistributedType.MULTI_GPU,0,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,10895718103.189602,112.5,0,1,128,4 x NVIDIA A100-PCIE-40GB,NA,8327790592,False,NA,0.6540169715881348,8.816176912770853,0.000516222752349548,9.177917329811064e-11,False,NA,Unknown (no config attribute),8327790592,Germany,NA
1.0866576594695228e-05,0,1.1246563783179801e-05,100.0,0.00795264197913275,3.7,0.0,NO_SHARD,True,"April 29, 2025 at 01:50:45 PM",4.324696564875816e-05,0.7015314102172852,112.5,1.952442713658533,0.0038884480236748126,1,100.0,275.33751166788346,1.0,1.5,pure_generative,9907380736,100.0,False,0.004007002558345451,meta-llama/Llama-3.2-1B,712.3680858090667,9907380736,0.0019593615822886936,128,20248623316992,1863200768,saxony,greedy,112.5,0.008487726512399263,0.6889514923095703,361.0962196148739,0.003906309526779395,0009,128,0.010254126596087137,4.0,pytorch,112.5,9.104181610310468,1235814400,4097.431358182803,65.55890173092484,112.5,AMD EPYC 7742 64-Core Processor,0.010207239857395491,0.010454328174821378,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",504.28599155853124,16384,128,36746.06348662377,0.7013869285583496,0.0020204129704216034,R1_Standard_Production_Config,False,0.008275360509175655,0.033438253139475904,True,52638582308864,torch.float32,0009,1.0,149162.9115033267,text_generation,False,0.041434142084257414,0.7030091285705566,0.5,4,False,36914.855745913694,True,37635.581429356964,,1.082585213834117e-05,128,8,1.030797313254196e-05,0.003982576318198205,16384,37866.41084143227,249.91266734829222,False,,668.3421491423009,DistributedType.MULTI_GPU,5,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,135748378.15190008,112.5,0,4,128,4 x NVIDIA A100-PCIE-40GB,0.0019678995103167836,14369685504,False,0.00200496791610567,0.6498785018920898,0.10983963664207906,0.010518447455953409,7.3665705153472794e-09,False,0.00823705242296846,Unknown (no config attribute),14369685504,Germany,0.008438113694932525
1.3724519607991795e-05,0,1.3117229245564014e-05,100.0,0.010334599971545688,3.2,0.0,NO_SHARD,True,"April 29, 2025 at 01:52:51 PM",5.257703527235911e-05,0.6997218132019043,112.5,1.5334932307741873,0.004076796150964703,1,100.0,425.83082489944474,1.0,1.5,pure_generative,1609970688,100.0,False,0.004202556190091032,meta-llama/Llama-3.2-1B,463.05677184342795,1609970688,0.0025525456089089855,128,52638582308864,1919270912,saxony,top_k,112.5,0.00820921601181368,0.6954946517944336,334.90191733961893,0.0041082964233183925,0010,128,0.011031778947607382,4.0,pytorch,112.5,9.517733096937192,749275136,5216.847286610573,83.46955658576917,112.5,AMD EPYC 7742 64-Core Processor,0.010701656781637231,0.01078434551337024,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",391.40186738235076,16384,128,38525.964413894035,0.7082934379577637,0.002576597139781371,R3_Balanced_Enterprise_Service,False,0.008384579207655563,0.03292908384324278,True,52638582308864,torch.float16,0010,1.0,155938.53906021896,text_generation,False,0.04331626085006082,0.7037601470947266,0.5,4,False,39714.40421138657,True,38823.64384813286,,1.3068830567883964e-05,128,8,1.2666455850919338e-05,0.004113680806456541,16384,38874.52658680548,196.28713353909598,True,50,341.8179554469114,DistributedType.MULTI_GPU,5,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,337559801.6122012,112.5,0,4,128,4 x NVIDIA A100-PCIE-40GB,0.0026334752203438262,2300575744,True,0.002571982002511505,0.6702032089233398,0.10506703537650158,0.010798479607445967,2.9624380486774604e-09,False,0.008136042342160366,Unknown (no config attribute),2300575744,Germany,0.00819924628161317
NA,0,1.073533900942726e-06,0.0,0.00045711511320769215,1.6,0.0,NO_SHARD,False,"April 29, 2025 at 01:53:31 PM",2.107604143755848e-06,0.6875510215759277,NA,17.47926620696019,0.0003465821315647149,1,0.0,299.4900774664272,1.0,0,pure_generative,1609970688,100.0,False,0.0003439709789624344,meta-llama/Llama-3.2-1B,NA,1609970688,NA,128,52638582308864,1866301440,saxony,greedy,NA,0.00067925915451994,0.6694858074188232,326.9894346199088,NA,0011,128,NA,0.0,pytorch,112.5,0.398301250032322,749275136,3661.480936454609,7.322961872909218,112.5,AMD EPYC 7742 64-Core Processor,NA,0.0009029294630855346,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",313.239756043168,16384,128,NA,NA,0.00022949055674325794,A2_2_GPU,False,NA,0.0013534905272400977,False,52638582308864,torch.float16,0011,1.0,6525.767680529564,text_generation,False,0.0018127132445915455,NA,0,2,False,NA,True,3250.5460671079245,,NA,128,64,1.034070242813122e-06,NA,16384,3275.2216134216396,2237.3460744909044,True,,NA,DistributedType.MULTI_GPU,0,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,8066266665.593648,112.5,0,2,128,4 x NVIDIA A100-PCIE-40GB,NA,3527409664,True,0.00022762455646443418,0.6514205932617188,2.5106624694721655,0.000909783781506011,1.2397308959118123e-10,False,NA,Unknown (no config attribute),3527409664,Germany,0.0006742313727201577
